"","entry.name","protein.description","peptides.rep1","peptides.rep2","psms.rep1","psms.rep2","phenodisco.input","phenodisco.output","curated.phenodisco.output","markers","svm.classification","svm.score","svm.top.quartile","final.assignment","first.evidence","curated.organelles","cytoskeletal.components","trafficking.proteins","protein.complexes","signalling.cascades","oct4.interactome","nanog.interactome","sox2.interactome","cell.surface.proteins","markers2015"
"Q8K298","ANLN_MOUSE","Actin-binding protein anillin OS=Mus musculus GN=Anln PE=1 SV=2 - [ANLN_MOUSE]",37,38,80,63,"unknown","unknown","unknown","unknown","Mitochondrion",0.208,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"P14873","MAP1B_MOUSE","Microtubule-associated protein 1B OS=Mus musculus GN=Map1b PE=1 SV=2 - [MAP1B_MOUSE]",37,33,60,49,"unknown","unknown","unknown","unknown","Mitochondrion",0.202,"unknown","unknown","N","unknown","Microtubules","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8BI84","MIA3_MOUSE","Melanoma inhibitory activity protein 3 OS=Mus musculus GN=Mia3 PE=1 SV=2 - [MIA3_MOUSE]",37,57,59,86,"Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus",1,"Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus"
"Q3U1J4","DDB1_MOUSE","DNA damage-binding protein 1 OS=Mus musculus GN=Ddb1 PE=1 SV=2 - [DDB1_MOUSE]",37,29,53,40,"unknown","unknown","unknown","unknown","Proteasome",0.495,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9JLN9","MTOR_MOUSE","Serine/threonine-protein kinase mTOR OS=Mus musculus GN=Mtor PE=1 SV=2 - [MTOR_MOUSE]",37,50,47,62,"unknown","unknown","unknown","unknown","Plasma membrane",0.253,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"P42932","TCPQ_MOUSE","T-complex protein 1 subunit theta OS=Mus musculus GN=Cct8 PE=1 SV=3 - [TCPQ_MOUSE]",36,31,76,76,"unknown","unknown","unknown","unknown","Cytosol",0.543,"unknown","unknown","N","unknown","unknown","unknown","CCT complex","unknown","unknown","unknown","unknown","unknown","unknown"
"P17426-2","AP2A1_MOUSE","Isoform B of AP-2 complex subunit alpha-1 OS=Mus musculus GN=Ap2a1 - [AP2A1_MOUSE]",36,24,65,52,"unknown","unknown","unknown","unknown","Plasma membrane",0.215,"unknown","unknown","N","Vesicles - AP2","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8CGC7","SYEP_MOUSE","Bifunctional glutamate/proline--tRNA ligase OS=Mus musculus GN=Eprs PE=1 SV=4 - [SYEP_MOUSE]",36,53,57,77,"unknown","unknown","unknown","unknown","Proteasome",0.802,"Proteasome","unknown","Y","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Prey","unknown","unknown"
"P09103","PDIA1_MOUSE","Protein disulfide-isomerase OS=Mus musculus GN=P4hb PE=1 SV=2 - [PDIA1_MOUSE]",35,36,105,117,"Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus",1,"Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","N","unknown","unknown","unknown","Glucosidase II complex","unknown","unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus"
"Q78PY7","SND1_MOUSE","Staphylococcal nuclease domain-containing protein 1 OS=Mus musculus GN=Snd1 PE=1 SV=1 - [SND1_MOUSE]",35,36,79,79,"unknown","unknown","unknown","unknown","60S Ribosome",0.34,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Non-Specific","unknown"
"P57780","ACTN4_MOUSE","Alpha-actinin-4 OS=Mus musculus GN=Actn4 PE=1 SV=1 - [ACTN4_MOUSE]",35,34,68,74,"unknown","Phenotype 9","Actin cytoskeleton","Actin cytoskeleton","Actin cytoskeleton",1,"Actin cytoskeleton","Actin cytoskeleton","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Actin cytoskeleton"
"P08003","PDIA4_MOUSE","Protein disulfide-isomerase A4 OS=Mus musculus GN=Pdia4 PE=1 SV=3 - [PDIA4_MOUSE]",34,32,85,91,"Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus",1,"Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus"
"P14733","LMNB1_MOUSE","Lamin-B1 OS=Mus musculus GN=Lmnb1 PE=1 SV=3 - [LMNB1_MOUSE]",34,36,82,86,"unknown","unknown","unknown","unknown","Nucleus - Chromatin",0.669,"unknown","Nucleus - Chromatin","N","Nucleus - Lamina","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q9JKR6","HYOU1_MOUSE","Hypoxia up-regulated protein 1 OS=Mus musculus GN=Hyou1 PE=1 SV=1 - [HYOU1_MOUSE]",34,33,75,76,"Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus",1,"Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus"
"Q01853","TERA_MOUSE","Transitional endoplasmic reticulum ATPase OS=Mus musculus GN=Vcp PE=1 SV=4 - [TERA_MOUSE]",34,34,72,72,"unknown","unknown","unknown","unknown","Cytosol",0.659,"unknown","Cytosol","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q64737","PUR2_MOUSE","Trifunctional purine biosynthetic protein adenosine-3 OS=Mus musculus GN=Gart PE=2 SV=3 - [PUR2_MOUSE]",34,26,67,52,"unknown","Phenotype 5","unknown","unknown","Cytosol",0.89,"Cytosol","Cytosol","Y","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Non-Specific","unknown"
"Q8K2Z4","CND1_MOUSE","Condensin complex subunit 1 OS=Mus musculus GN=Ncapd2 PE=1 SV=2 - [CND1_MOUSE]",34,34,47,48,"unknown","unknown","unknown","unknown","Nucleus - Chromatin",0.281,"unknown","unknown","N","unknown","unknown","unknown","13S condensin complex","unknown","unknown","unknown","unknown","unknown","unknown"
"P26041","MOES_MOUSE","Moesin OS=Mus musculus GN=Msn PE=1 SV=3 - [MOES_MOUSE]",33,31,75,58,"Plasma membrane","Plasma membrane","Plasma membrane","Plasma membrane","Plasma membrane",1,"Plasma membrane","Plasma membrane","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Plasma membrane"
"Q8K411-2","PREP_MOUSE","Isoform 2 of Presequence protease, mitochondrial OS=Mus musculus GN=Pitrm1 - [PREP_MOUSE]",33,37,60,60,"unknown","Mitochondrion","unknown","Mitochondrion","Mitochondrion",1,"Mitochondrion","Mitochondrion","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Mitochondrion"
"P28660","NCKP1_MOUSE","Nck-associated protein 1 OS=Mus musculus GN=Nckap1 PE=1 SV=2 - [NCKP1_MOUSE]",33,36,59,56,"Plasma membrane","Plasma membrane","Plasma membrane","Plasma membrane","Plasma membrane",1,"Plasma membrane","Plasma membrane","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Plasma membrane"
"Q6GQT9","NOMO1_MOUSE","Nodal modulator 1 OS=Mus musculus GN=Nomo1 PE=1 SV=1 - [NOMO1_MOUSE]",33,39,58,64,"unknown","Endoplasmic reticulum/Golgi apparatus","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.943,"Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Y","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"P63017","HSP7C_MOUSE","Heat shock cognate 71 kDa protein OS=Mus musculus GN=Hspa8 PE=1 SV=1 - [HSP7C_MOUSE]",32,26,91,87,"unknown","unknown","unknown","unknown","Cytosol",0.713,"unknown","Cytosol","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q3V3R1","C1TM_MOUSE","Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Mus musculus GN=Mthfd1l PE=1 SV=2 - [C1TM_MOUSE]",32,36,89,99,"Mitochondrion","Mitochondrion","Mitochondrion","Mitochondrion","Mitochondrion",1,"Mitochondrion","Mitochondrion","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Mitochondrion"
"P35564","CALX_MOUSE","Calnexin OS=Mus musculus GN=Canx PE=1 SV=1 - [CALX_MOUSE]",32,30,83,75,"Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus",1,"Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","N","unknown","unknown","unknown","Glucosidase II complex","unknown","unknown","unknown","unknown","Non-Specific","Endoplasmic reticulum/Golgi apparatus"
"P26040","EZRI_MOUSE","Ezrin OS=Mus musculus GN=Ezr PE=1 SV=3 - [EZRI_MOUSE]",32,27,76,77,"Plasma membrane","Plasma membrane","Plasma membrane","Plasma membrane","Plasma membrane",1,"Plasma membrane","Plasma membrane","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Plasma membrane"
"Q91V92","ACLY_MOUSE","ATP-citrate synthase OS=Mus musculus GN=Acly PE=1 SV=1 - [ACLY_MOUSE]",32,37,62,65,"unknown","unknown","unknown","unknown","Cytosol",0.781,"unknown","Cytosol","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q6P9P6","KIF11_MOUSE","Kinesin-like protein KIF11 OS=Mus musculus GN=Kif11 PE=2 SV=1 - [KIF11_MOUSE]",32,34,61,57,"unknown","unknown","unknown","unknown","Peroxisome",0.361,"unknown","unknown","N","unknown","Kinesins","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q8BKG3","PTK7_MOUSE","Inactive tyrosine-protein kinase 7 OS=Mus musculus GN=Ptk7 PE=1 SV=1 - [PTK7_MOUSE]",32,31,60,54,"Plasma membrane","Plasma membrane","Plasma membrane","Plasma membrane","Plasma membrane",1,"Plasma membrane","Plasma membrane","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Non-Specific","Plasma membrane"
"Q9CQN1","TRAP1_MOUSE","Heat shock protein 75 kDa, mitochondrial OS=Mus musculus GN=Trap1 PE=1 SV=1 - [TRAP1_MOUSE]",32,26,57,50,"Mitochondrion","Mitochondrion","Mitochondrion","Mitochondrion","Mitochondrion",1,"Mitochondrion","Mitochondrion","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Mitochondrion"
"Q02053","UBA1_MOUSE","Ubiquitin-like modifier-activating enzyme 1 OS=Mus musculus GN=Uba1 PE=1 SV=1 - [UBA1_MOUSE]",32,35,56,65,"unknown","Phenotype 5","unknown","unknown","Cytosol",0.623,"unknown","Cytosol","Y","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","High Confidence","unknown"
"P39447","ZO1_MOUSE","Tight junction protein ZO-1 OS=Mus musculus GN=Tjp1 PE=1 SV=2 - [ZO1_MOUSE]",32,42,53,65,"unknown","unknown","unknown","unknown","Plasma membrane",0.23,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Non-Specific","unknown"
"P80314","TCPB_MOUSE","T-complex protein 1 subunit beta OS=Mus musculus GN=Cct2 PE=1 SV=4 - [TCPB_MOUSE]",32,28,52,54,"unknown","unknown","unknown","unknown","Cytosol",0.362,"unknown","unknown","N","unknown","unknown","unknown","CCT complex","unknown","unknown","unknown","unknown","unknown","unknown"
"P23249","MOV10_MOUSE","Putative helicase MOV-10 OS=Mus musculus GN=Mov10 PE=1 SV=2 - [MOV10_MOUSE]",32,26,50,41,"unknown","unknown","unknown","unknown","60S Ribosome",0.569,"60S Ribosome","unknown","Y","unknown","unknown","unknown","P-body","unknown","unknown","Prey","unknown","unknown","unknown"
"P08775","RPB1_MOUSE","DNA-directed RNA polymerase II subunit RPB1 OS=Mus musculus GN=Polr2a PE=1 SV=3 - [RPB1_MOUSE]",32,24,44,32,"unknown","unknown","unknown","unknown","Nucleus - Non-chromatin",0.475,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","Prey","unknown","unknown","unknown"
"Q3UIL6-2","PKHA7_MOUSE","Isoform 2 of Pleckstrin homology domain-containing family A member 7 OS=Mus musculus GN=Plekha7 - [PKHA7_MOUSE]",32,35,44,49,"unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.227,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q03265","ATPA_MOUSE","ATP synthase subunit alpha, mitochondrial OS=Mus musculus GN=Atp5a1 PE=1 SV=1 - [ATPA_MOUSE]",31,35,108,139,"Mitochondrion","Mitochondrion","Mitochondrion","Mitochondrion","Mitochondrion",1,"Mitochondrion","Mitochondrion","N","unknown","unknown","unknown","ATP synthase","unknown","unknown","unknown","unknown","unknown","Mitochondrion"
"Q91YQ5","RPN1_MOUSE","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Mus musculus GN=Rpn1 PE=2 SV=1 - [RPN1_MOUSE]",31,30,69,57,"Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus",1,"Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","N","unknown","unknown","unknown","Oligosacchyltransferase complex (OST)","unknown","unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus"
"P37913","DNLI1_MOUSE","DNA ligase 1 OS=Mus musculus GN=Lig1 PE=1 SV=2 - [DNLI1_MOUSE]",31,23,59,34,"unknown","unknown","unknown","unknown","Mitochondrion",0.257,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q60864","STIP1_MOUSE","Stress-induced-phosphoprotein 1 OS=Mus musculus GN=Stip1 PE=1 SV=1 - [STIP1_MOUSE]",31,35,59,68,"unknown","Phenotype 5","unknown","unknown","Cytosol",0.777,"unknown","Cytosol","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","High Confidence","unknown"
"Q8BK67","RCC2_MOUSE","Protein RCC2 OS=Mus musculus GN=Rcc2 PE=2 SV=1 - [RCC2_MOUSE]",31,21,57,37,"unknown","Phenotype 1","Nucleus - Chromatin","Nucleus - Chromatin","Nucleus - Chromatin",1,"Nucleus - Chromatin","Nucleus - Chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Nucleus - Chromatin"
"Q61191","HCFC1_MOUSE","Host cell factor 1 OS=Mus musculus GN=Hcfc1 PE=1 SV=2 - [HCFC1_MOUSE]",31,30,52,44,"unknown","unknown","unknown","unknown","Nucleus - Chromatin",0.475,"unknown","unknown","N","unknown","unknown","unknown","unknown","unknown","Prey","Prey","unknown","unknown","unknown"
"P27546","MAP4_MOUSE","Microtubule-associated protein 4 OS=Mus musculus GN=Map4 PE=1 SV=3 - [MAP4_MOUSE]",31,36,46,53,"unknown","60S Ribosome","unknown","unknown","60S Ribosome",0.195,"unknown","unknown","N","unknown","Microtubules","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q3U7R1","ESYT1_MOUSE","Extended synaptotagmin-1 OS=Mus musculus GN=Esyt1 PE=2 SV=2 - [ESYT1_MOUSE]",31,29,43,35,"unknown","Endoplasmic reticulum/Golgi apparatus","unknown","unknown","Endoplasmic reticulum/Golgi apparatus",0.801,"unknown","Endoplasmic reticulum/Golgi apparatus","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q7TMY8","HUWE1_MOUSE","E3 ubiquitin-protein ligase HUWE1 OS=Mus musculus GN=Huwe1 PE=1 SV=5 - [HUWE1_MOUSE]",31,50,43,67,"unknown","Phenotype 5","Cytosol","Cytosol","Cytosol",1,"Cytosol","Cytosol","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Cytosol"
"P33174","KIF4_MOUSE","Chromosome-associated kinesin KIF4 OS=Mus musculus GN=Kif4 PE=2 SV=3 - [KIF4_MOUSE]",31,24,42,29,"unknown","Phenotype 1","Nucleus - Chromatin","Nucleus - Chromatin","Nucleus - Chromatin",1,"Nucleus - Chromatin","Nucleus - Chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Nucleus - Chromatin"
"Q9EPU0","RENT1_MOUSE","Regulator of nonsense transcripts 1 OS=Mus musculus GN=Upf1 PE=1 SV=2 - [RENT1_MOUSE]",31,31,42,45,"unknown","unknown","unknown","unknown","60S Ribosome",0.401,"unknown","unknown","N","unknown","unknown","unknown","P-body","unknown","unknown","unknown","unknown","unknown","unknown"
"P27773","PDIA3_MOUSE","Protein disulfide-isomerase A3 OS=Mus musculus GN=Pdia3 PE=1 SV=2 - [PDIA3_MOUSE]",30,32,96,111,"Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus",1,"Endoplasmic reticulum/Golgi apparatus","Endoplasmic reticulum/Golgi apparatus","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Endoplasmic reticulum/Golgi apparatus"
"Q9D8E6","RL4_MOUSE","60S ribosomal protein L4 OS=Mus musculus GN=Rpl4 PE=1 SV=3 - [RL4_MOUSE]",30,25,70,63,"60S Ribosome","60S Ribosome","60S Ribosome","60S Ribosome","60S Ribosome",1,"60S Ribosome","60S Ribosome","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","60S Ribosome"
"O88477","IF2B1_MOUSE","Insulin-like growth factor 2 mRNA-binding protein 1 OS=Mus musculus GN=Igf2bp1 PE=1 SV=1 - [IF2B1_MOUSE]",30,24,65,68,"unknown","unknown","unknown","unknown","60S Ribosome",0.607,"60S Ribosome","60S Ribosome","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Prey","unknown","unknown"
"P11688","ITA5_MOUSE","Integrin alpha-5 OS=Mus musculus GN=Itga5 PE=1 SV=3 - [ITA5_MOUSE]",30,25,59,47,"Plasma membrane","Plasma membrane","Plasma membrane","Plasma membrane","Plasma membrane",1,"Plasma membrane","Plasma membrane","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","Non-Specific","Plasma membrane"
"Q99NB9","SF3B1_MOUSE","Splicing factor 3B subunit 1 OS=Mus musculus GN=Sf3b1 PE=1 SV=1 - [SF3B1_MOUSE]",30,36,55,63,"unknown","unknown","unknown","unknown","Nucleus - Non-chromatin",0.829,"unknown","Nucleus - Non-chromatin","N","unknown","unknown","unknown","Spliceosome","unknown","unknown","unknown","unknown","Non-Specific","unknown"
"Q69ZN7;Q69ZN7-2","MYOF_MOUSE","Myoferlin OS=Mus musculus GN=Myof PE=1 SV=2 - [MYOF_MOUSE]|Isoform 2 of Myoferlin OS=Mus musculus GN=Myof - [MYOF_MOUSE]",30,5,54,7,"unknown","unknown","unknown","unknown","Lysosome",0.753,"Lysosome","Lysosome","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","High Confidence","unknown"
"Q8BGQ7","SYAC_MOUSE","Alanine--tRNA ligase, cytoplasmic OS=Mus musculus GN=Aars PE=1 SV=1 - [SYAC_MOUSE]",30,30,50,54,"unknown","Phenotype 5","unknown","unknown","Cytosol",0.901,"Cytosol","Cytosol","Y","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"Q3URK3","TET1_MOUSE","Methylcytosine dioxygenase TET1 OS=Mus musculus GN=Tet1 PE=1 SV=2 - [TET1_MOUSE]",30,25,48,35,"unknown","Phenotype 1","unknown","unknown","Nucleus - Chromatin",0.915,"Nucleus - Chromatin","Nucleus - Chromatin","N","unknown","unknown","unknown","unknown","Pluripotency","unknown","Prey","unknown","unknown","unknown"
"Q811D0-3","DLG1_MOUSE","Isoform 3 of Disks large homolog 1 OS=Mus musculus GN=Dlg1 - [DLG1_MOUSE]",30,31,47,49,"unknown","Plasma membrane","unknown","unknown","Plasma membrane",0.848,"Plasma membrane","Plasma membrane","N","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown"
"P25976","UBF1_MOUSE","Nucleolar transcription factor 1 OS=Mus musculus GN=Ubtf PE=1 SV=1 - [UBF1_MOUSE]",30,33,46,55,"unknown","unknown","unknown","unknown","Nucleus - Chromatin",0.748,"unknown","Nucleus - Chromatin","N","unknown","unknown","unknown","unknown","unknown","unknown","Prey","unknown","unknown","unknown"
